id,text,labels
31421,Ủa,[13]
6352,s không để tới lúc chết rồi thêm kỷ lục xác chết có móng tay dài nhất :v,"[0, 23, 25]"
x001511,"@LinglingVNWL Mong là sự việc này sẽ tốt 

NARS X LINGLING KWONG
#NARSSerumCushionxLingling",[5]
32885,"Lê Văn Huy  thì 2 Đảng đó tranh vị TT mà, nên chỉ có vía harris mới có thể tranh với ông Trum còn thấp hơn k ai tranh đc.","[27, 25]"
5389,nuôi kiểu gì mà lắm ve thế kia ?,"[23, 25]"
tik016697,Khum có ng xấu chỉ có ng đẹp độc lạ thui nên cứ tự tin lên nho,"[5, 7]"
5278,sang năm nữa vác giường ra mà nhìn,[27]
30933,Lại còn vẫy chào 😆,[0]
x000748,"@hanhhien85 đúng rồi em ơi, kết thúc này là khởi đầu của cái kia","[12, 5]"
you000114,"toàn là những comments của những kẻ chỉ giỏi ăn bám bố mẹ kiếp ở nhờ gia đình , ôm điện thoại làm người được tẩy não đến u mê mù quáng....","[23, 24]"
you001654,"Chị ơi em đang gặp vấn đề tiêu cực muốn nhờ chị giúp ạ.Em năm nay học lớp 11 và học cũng khá ổn nhưng em lại ko chơi thân với nhiều bạn trong lớp, và thường bị cạnh tranh trong học tập rất nhiều.Vì vậy em cảm thấy rất cô đơn và áp lực.Mỗi buổi tối em ko thể nào ngủ được.Hơn thế nữa lớp học của em các bạn chủ yếu là chơi mà rất ít học khiến em ko thể tập trung vào học được ngay cả trên lớp lẫn học ở ngoài.Em cảm thâý vô cùng bế tắc.Chị có thể chỉ cho em cách để vượt qua được ko ạ","[4, 17]"
22069,Nhỏ không học lớn lên ngu như Do Chau Giang,[25]
16304,Ác chi kinh rứa trời,"[24, 23]"
1288,khi nào tao thấy thích . mà thích rồi chưa có người thích cùng .,"[20, 21]"
1481,t đã cố tình che mặt nhưng vẫn giật mình,"[13, 17, 16]"
tik013484,Vẫn chênh vênh lắm,"[17, 21]"
you001473,Học được cách thở  nha<br>Thank you,[9]
2706,diễn viên có cá tính hay nhât từng xem,[8]
13416,"Thủy Sâu chính sách nớ chưa là gì khi tụi CTY lấy %, nó lấy đến độ chạy bạt mạng 300k rồi trừ 100k phí sử dụng, là còn 200k tiền xăng xe ăn uống hết 100k, thé là cả ngày ấy bạn chỉ kiếm đc 100k. Lúc trước thu% vừa đủ nay thu ác quá,","[20, 25]"
tik000224,bả kéo cái áo t hết hồn,[13]
x000616,"@Hien2021 Khi trẻ, chúng ta sợ mất người yêu thương, thất tình và mong muốn nhiều lựa chọn. Trưởng thành, chúng ta lo lắng về việc mất việc làm, cảm thấy bị áp đặt bởi quá nhiều sự lựa chọn và đối diện với nỗi đau một cách trưởng thành hơn. Điều quan trọng","[12, 16, 17]"
tik011709,giá như năm ấy nó ko cho t sống đến ngày hôm nay,"[4, 20, 21]"
tik017751,t k bt t bị j🗿,[15]
3723,cũng dể thương đấy chứ,"[0, 3, 6]"
4421,câu chuyện của mày làm tao buồn quá,"[20, 21]"
33226,"Kts.Nguyễn Hưng vk bận chưa kịp gửi đấy, chứ vk thấy rồi, Thah Hưng này mà đưa b đi cafe thì đi lun 1 lèo đi","[0, 4, 1]"
26923,Phạm Bích Hạnh tính lóng như kem vậy :)),[0]
957,thả tao ra để tao cắn chết mẹ nó =)),"[1, 24]"
30383,Chip Dao kết quả rồi bạn ơi. Bác Trump thắng rồi😊,"[1, 2]"
2905,người ta thật thà phết,"[11, 12]"
4986,hú hồn hà,"[13, 16]"
513,khi bạn muốn lầy và cũng có người lầy cùng bạn =)),"[0, 2]"
22032,"Chồng tôi đã từng úp tô mỳ tôm lên cái máy mac 36 củ, sau đó mất thêm 5 củ để sấy rồi sửa các kiểu… Sau đó nữa là mua máy mới chứ ông bà cày nát phòng gym rồi nhưng gánh ko lại =))) Case này đòi luôn máy mới chứ chục củ còn ít =)))","[25, 0, 26]"
1372,đây đây thiệt là hãm,[23]
3698,lúc nhỏ bà hàng xóm của tao bị dí chạy tới mức bã phải nhảy xuống sông bã lội trốn mà tụi nó cũng nhảy theo với bã 🤣,[0]
16043,Chúc chú ll mạnh khỏe,[6]
you001177,Tách mình ra khỏi những nguyên nhân gây tiêu cực,[10]
15268,"Về được là quá tốt rồi
Rất giỏi và may mắn","[2, 7, 8, 10]"
16047,Cty bv An Ninh Toàn Cầu của ông Sơn em bà Hà giám đốc Cty nv Long Hoàng,[27]
5460,tiếng guitar thật tuyệt,"[2, 8]"
tik011995,Vâng.😳🥺,"[21, 22]"
3512,chó nhà tao mới đi lạc 3 hôm thôi mà quên mẹ hết chủ rồi :vậy,"[20, 21]"
2203,"hôm qua tôi đi grab gặp được bạn đẹp trai , thơm phức nè . có cô gái nào có hứng thú hem ?","[0, 4, 1]"
you001980,E con cam oi chi  nhung loi chi noi rat co y ngia,[9]
3483,"móng tay dài như vậy thì làm gì để sống phục vụ bản thân cũng khó khăn uổng phí hết tuổi trẻ một đời người để nuôi một bộ móng , thay vào đó làm việc gì có ích cho bản thân gia đình và xã hội , đời người ngắn ngủi nên trân trọng thời gian quý báu của mình","[25, 26]"
x000691,@QuocTrungtk biết buông bỏ sẽ dễ bình yên,[5]
tik013694,Rất tủi thân😔😔 tôi đã rơi nc mắt khi tôi thấy mình trong này,[21]
2818,ko như thằng per năm ấy ngồi cạnh tao một hai không cho chép bài thi ! đm,"[24, 25]"
27648,"Hà Quốc Dũng oa~ thì phải khôn vào con bố =)))) nói thì đ có lý, đọc hiểu thì kém, tìm hiểu thì cũng đ tìm mà ngồi bênh như bênh cmm =)) con mm làm 4 à mà bêh ghê thế","[25, 23]"
27632,"Tịch thu hung khí gây án đi ạ, lúc đó nó mới hiểu nạn nhân mất cj😇😇","[24, 26, 23]"
16613,"Content bị lặp ad ơi, hơi tụt mood xíu nhưng bát cháo hành này vẫn chất lượng, cảm ơn ad ạ <3","[0, 9, 20, 25]"
26975,Ôi đàn bà 😂,[0]
2596,lại mất tiền ngu,"[20, 25]"
you000097,VN thời hiện đại belike: 2 tuần thôi là đủ,[7]
1604,hay qua hoc theo cho vui,"[0, 2, 12]"
you001684,chị ơi làm sao để giảm bớt stress khi nhớ nhà vậy chị :(((,[21]
4124,buồn vì mình không giúp được gì cho ai . nhìn những người khác khổ hơn mình mà thấy thương họ,"[6, 21, 3]"
5967,quả váy hồng truất vãi_chưởng,"[0, 1, 2]"
tik005233,"a chị này ở đâu vậy chủ stus,cho e xin đc ko?","[14, 4]"
4866,dỗ lại dễ thôi mà . nhỉ nhỉ 🤣🤣🤣,[0]
29743,Phi Long mua đi r hãy phán,"[25, 26]"
33215,Đm gặp tao thì… con này xanh cỏ ròi,"[24, 23]"
28027,Mang bệnh tật của người khác để đùa cợt các bạn vui lắm nhỉ 🙂,"[23, 0]"
12745,Lê Thị Kim Út eo ơi tàn ác,"[24, 23]"
6446,nhìn ngon ngẻ v thôi chứ toàn gay qá :((,"[23, 21]"
tik017280,nghe mà nhột,[19]
you004379,"Thấy ở Việt Nam vẫn là sướng nhất. Văn hóa hơi kém tí nhưng được cái vui vẻ, nhiệt tình, trò gì cũng chơi nhạc nào cũng nhảy.","[2, 5]"
6911,nhất định sẽ có một ngày tao sẽ thành công và tự nói bản thân rằng mày làm tốt lắm,"[5, 1]"
3425,lòng đường là để giao thông chứ để nhà các bác đỗ xe à ?,[25]
3157,per đu ̣ me ̣ như 1 tro ̀ đu ̀ anh =))))) đi gia ̉ mày tô ́ c co ̀ n nhiê ̀ u hơn khu nha ̀ ông,"[25, 24]"
11274,Lan Anh bạn nói chuẩn. Nếu con nghỉ thì phụ huynh đã thông báo. Lúc cô nhận hs chẳng nhẽ cô k đếm sĩ số,"[11, 20]"
tik012303,hối hận vì đã lấy chồng sớm 🥺,[18]
14931,Nhà dột từ nóc. Đây là những dấu hiệu sụp đổ của một quốc gia,"[17, 23, 21]"
you000887,"Anh ơi, cho em xin link mua cái ghế ạ :)))",[4]
7,một hành động đẹp đầy tính nhân văn ☺️☺️,"[2, 8]"
tik017485,gặp mấy chị gái hay các anh trai đều không dám nhìn vù tự ti nước da đen 😞,"[19, 21]"
260,"em cũng như con chó thôi , nếu anh đủ kiên nhẫn thì mọi chuyện đã khác rồi 😪","[20, 21]"
3348,"thôi bảo em gái xuống ngủ với mẹ đi , còn em percó sợ ma không ? thì ngủ với anh . hehe","[0, 6]"
3531,per ghét ghê bây,"[23, 25]"
tik003020,😅😅😅😳😳😳😞😞😞😍😍😍😍😍😍😍,"[19, 4, 3]"
12499,"Ha Nguyen Cái gì cũng đừng quá đáng, dùng lời ngọt khuyên bảo..","[25, 26]"
578,nghe mãi mà vẫn thấy hay,"[0, 2]"
x001643,@ivankaquynh Nướng lên nữa mới thấy cái cảnh,[1]
113,dkm xấu mặt những thằng tập gym vkl tao đéo hiểu sao thằng này nó lại thích đi đường tiểu ngạch là sao,"[23, 24]"
4159,tao đau lòng quá,"[21, 22]"
tik023521,xem tự hào ghê😂,"[7, 0]"
3514,nhà nó giàu vãi,"[8, 13]"
26610,"Tôi rất thương yêu động vật , nhưng động vật đó xứng đáng tuyệt chủng :)","[3, 23]"
tik015180,Tự ti lắm nên đi học lúc nào cũng đeo khẩu trang,[19]
22026,Gia Ân ủa zụ zì zẫy,"[15, 14]"
4748,câu chuyện dễ thương thật ^^,"[0, 2]"
28928,"Nguyễn Sin trai tài gái sắc, đôi mình là nhất....😄","[0, 3, 2]"
33262,Đặng Tú con này hình như nó ko biết tn là giới hạn c nhỉ.,"[25, 26]"
17309,"Bây giờ các con học ,học , và học tội quá",[21]
2761,ở daklak nữa không xử phạt thì còn mất nhiều,"[24, 25]"
x000084,"@nangoc84 Còn nhiều lối thoát lắm nhưng chưa hiện ra, hoặc chúng ta chưa nhìn thấy!",[5]
tik022503,fact: kim loại cùng tần số giao động (hz) thì mới có thể truyền giao động đó cho nhau từ khoảng cách xa.,"[12, 27]"
tik012158,@yenngann      🌷 xin lỗi em vì tất cả,"[18, 9]"
tik013459,Trang phục nhìn chất thật. Shellby đẹp trai vai,[8]
16789,lol negan nó đập đầu như đập đậu hũ v :)),"[0, 23]"
tik000193,bả kéo áo xuống là t vô đọc cmt liền 🥰,"[0, 1, 2, 4]"
tik001869,💯💯💯,[1]
6130,"quần áo với xe thế kia là biết gia đình điều kiện tnao rồi 😂 anw , mong ông bà luôn khỏe mạnh , vui vẻ < 3","[2, 5, 3]"
30896,Nhà có điều kiện,[27]
1536,"tất cả là do chính sách sai lầm của những người đứng đầu tỉnh sơn la . tsb cao su nó phù hợp trồng ở cao nguyên + nhiệt đới nắng lắm chứ lên tây bắc lạnh giá + sương muối thì cây cao su làm sao nó sinh trưởng tốt và hợp khí hậu được mà chả trắng tay :))) còn cả cây cafe đang được trồng ở sơn la , điện biên nữa sớm muộn gì những người dân trồng hai loại cây này cũng nhận trái đắng trắng tay thôi","[24, 25]"
tik023269,còn nữa và cũng là quốc gia chống covid tốt nhất,[7]
24911,Các anh giỏi lắm mọi người thật tốt bụng Cam ơn các anh chúc sức khỏe các anh nhé,"[8, 9, 11]"
5558,việt nam cái gì cũng có thể ăn được,"[0, 1, 2]"
tik011508,"Khi bạn có một chút, bạn lại ước nhiều hơn. Khi bạn có nhiều hơn, bạn lại ước có nhiều hơn nữa. Khi bạn mất tất cả, bạn mới nhận ra.. Một chút thôi đủ rồi.","[18, 21]"
5236,1967 mà cụ ông đẹp trai phong độ ăn mặc thời trang quá :)),"[8, 0]"
31469,Đang nghỉ giải lao xem ván 3 thấy lợi thế lớn ăn đc baron rồi vào làm nghĩ thắng được TQ lụm hcd mà vừa làm vừa vui mừng đến khi tan làm ra xem thì lại thua buồn thật chứ :((,"[20, 21]"
5210,chân tao không đu ̉ da ̀ i đi ̉ đi con đươ ̀ người na ̀ y :((((,"[20, 21]"
30399,Vương Hạnh trùng tên ạ 🤣🤣,[0]
72,hình như bồ tao cũng tập gym 😶😶,"[27, 15]"
14759,Ác quá luôn trời,"[24, 25]"
2591,dume hẩy kiểu đó làm sao mấy bà kia ăn dô nữa 🙂,"[25, 26, 15]"
you000548,"Em đang bắt đầu cv mới năm 28t, sau những thất bại nho nhỏ, phải chuyển đến 1 nơi khác sống và làm việc 1 mình, k quen biết ai, ở trong môi trường xa lạ, trải nghiệm công việc mới, những ngày đầu , hôm nào cũng khóc 1mh, tự hỏi sao gần 30 mà chưa có gi cả, thì vũ trụ gửi đến video này của a. Xem xong thì tỉnh ra. Ít ra bản thân e đã bước ra vùng an toàn của mình đôi lần rồi, cũng an ủi phần nào khi xem video của anh. Cảm ơn anh rất nhiều","[10, 17]"
146,đúng . a có tầm nhìn . tâm nữa . mình biết,"[8, 11, 12]"
14112,hậu trường ghê rợn thôi chứ phim ghê vì nó dở,"[20, 23]"
tik013168,Mọi chuyện rồi cũng sẽ ổn cả thôi,[5]
11308,Thương con quá .sao cái đám giáo viên và tài xế vô trách nhiệm như vậy,"[24, 21]"
tik021639,quan trọng là có cùng tần số có chuyện để ns ko,"[15, 27]"
tik012498,đúng vậy thật sự mình không nhìn thấy chỉ biết cố gắng từng ngày bất lực,"[20, 21]"
tik023328,Tự hào 🙌 là ng con Việt Nam 🇻🇳🇻🇳🇻🇳🇻🇳,[7]
18181,Cho T chia buồn cùng gia đình P nhé! Đọc mà k thể tin nổi luôn,"[13, 21, 22]"
5564,per gần nhà c ơi . hic hic,"[21, 22]"
tik001441,khủng 😁,[0]
you000557,anh đang dùng loại mic gì vậy ạ?,[14]
you001804,Thành công thành công phải thật thành công,"[7, 5]"
1131,địt mẹ mấy thằng nhà quê,"[23, 24]"
31046,"Hoàng Văn Công cũng chỉ vì miếng đớp vào mỏ thôi, ăn cho lắm vào rồi sán chó với gout nha. 🙂","[25, 0]"
1934,rồi mấy đứa chân ngắn đi chắc dập người hết . bay qua sao nổi =)))),[0]
4378,tao thề . nhìn bạn ấy xong tao muốn rụng mấy quả trứng luôn 😓,"[2, 4, 1]"
28115,Nguyễn Thu Hiền Hiền nhà mk thì ...,[27]
